d	raw	adjusted	smoothed	sleep
2/24/96				3
2/25/96				4
2/26/96				5
2/27/96				6
2/28/96				7
2/29/96				6
3/1/96			158.4	6.5
3/2/96			158.4	
3/3/96			157.9	6
3/4/96	162	158.4	157.9	6
3/5/96			157.4	6
3/6/96	161	157.4	157.4	
3/7/96			157.2	
3/8/96	160	156.4	156.8	7.5
3/9/96	161	157.4	156.7	6
3/10/96	160	156.4	156.6	7
3/11/96	160	156.4	156.5	6.5
3/12/96	160	156.4	156.6	6
3/13/96	160	156.4	156.4	6
3/14/96	160	156.4	156.4	6.5
3/15/96			156.2	4
3/16/96			155.8	7
3/17/96	160	156.4	155.8	6
3/18/96	159	155.4	155.6	6.5
3/19/96	158	154.4	155.7	5.5
3/20/96	160	156.4	155.8	5
3/21/96	159	155.4	155.7	5.5
3/22/96	160	156.4	155.5	6.5
3/23/96	160	156.4	155.7	6
3/24/96	159	155.4	155.5	6
3/25/96	158	154.4	155.5	6
3/26/96	159	155.4	155.3	5
3/27/96	159	155.4	154.8	6
3/28/96	159	155.4	154.7	6.5
3/29/96	158	154.4	154.5	6
3/30/96	157	153.4	154.3	5.5
3/31/96	158	154.4	154.0	5
4/1/96	157	153.4	153.7	5
4/2/96	157	153.4	153.7	5.5
4/3/96	157	153.4	153.9	5.5
4/4/96			153.7	6
4/5/96	158	154.4	153.6	5
4/6/96	158	154.4	153.2	5
4/7/96	157	153.4	152.9	5.5
4/8/96	156	152.4	152.7	6.5
4/9/96	155	151.4	152.4	5.5
4/10/96	155	151.4	152.0	7
4/11/96	155	151.4	151.7	7
4/12/96			151.7	
4/13/96			151.9	
4/14/96			152.4	
4/15/96	156	152.4	152.7	6
4/16/96	156	152.4	152.4	7.5
4/17/96	157	153.4	152.4	8
4/18/96	156	152.4	152.4	7.5
4/19/96	155	151.4	152.4	7
4/20/96			152.4	7.5
4/21/96			152.0	8
4/22/96	156	152.4	152.8	6.5
4/23/96	156	152.4	153.8	6.5
4/24/96	155	151.4	153.8	7.5
4/25/96	160	156.4	153.4	7
4/26/96	160	156.4	153.2	7.5
4/27/96			152.9	
4/28/96	155	151.4	152.9	7
4/29/96	155	151.4	152.2	7
4/30/96	154	150.4	151.4	7.5
5/1/96	155	151.4	151.4	8
5/2/96	156	152.4	151.4	7.5
5/3/96			151.4	
5/4/96			151.9	
5/5/96			152.4	
5/6/96			153.4	
5/7/96			152.9	
5/8/96			153.1	
5/9/96	157	153.4	153.2	7.5
5/10/96	156	152.4	153.0	8
5/11/96	157	153.4	152.9	7
5/12/96	157	153.4	152.9	8.5
5/13/96	156	152.4	152.8	7
5/14/96	156	152.4	152.9	8
5/15/96			152.7	
5/16/96			152.4	
5/17/96			152.4	
5/18/96	156	152.4	152.2	7
5/19/96	156	152.4	152.4	7
5/20/96	156	152.4	152.4	8
5/21/96	155	151.4	152.3	7.5
5/22/96	157	153.4	152.3	6.5
5/23/96	156	152.4	152.0	7.5
5/24/96	155	151.4	151.8	7.5
5/25/96	156	152.4	152.0	7
5/26/96	154	150.4	151.8	8.5
5/27/96	155	151.4	151.5	7.5
5/28/96	156	152.4	151.5	8
5/29/96	156	152.4	151.4	7.5
5/30/96	154	150.4	151.4	6.5
5/31/96	155	151.4	151.1	8
6/1/96	155	151.4	150.8	7
6/2/96	154	150.4	150.7	7
6/3/96	153	149.4	151.0	7.5
6/4/96	154	150.4	151.0	7
6/5/96	155	151.4	151.0	10
6/6/96	156	152.4	151.1	7.5
6/7/96	155	151.4	151.5	7
6/8/96	155	151.4	152.1	6
6/9/96	155	151.4	152.1	7.5
6/10/96	156	152.4	152.1	7.5
6/11/96	158	154.4	151.8	7
6/12/96	155	151.4	151.7	8
6/13/96	156	152.4	151.7	7.5
6/14/96	153	149.4	151.5	7
6/15/96	154	150.4	151.1	7.5
6/16/96	155	151.4	151.3	8
6/17/96	155	151.4	151.3	7
6/18/96	155	151.4	151.5	8
6/19/96	156	152.4	151.5	7.5
6/20/96	156	152.4	151.4	8
6/21/96	155	151.4	151.5	7
6/22/96	154	150.4	151.7	7
6/23/96	154	150.4	151.4	7
6/24/96	156	152.4	151.3	7.5
6/25/96	156	152.4	151.3	7
6/26/96	154	150.4	151.3	8
6/27/96	155	151.4	151.4	8
6/28/96	155	151.4	151.4	7
6/29/96	154	150.4	151.3	7
6/30/96	155	151.4	151.3	7.5
7/1/96	156	152.4	151.5	8
7/2/96	155	151.4	151.5	7
7/3/96	154	150.4	151.7	7.5
7/4/96	157	153.4	151.5	7
7/5/96	155	151.4	151.5	7
7/6/96	155	151.4	151.5	7
7/7/96	154	150.4	151.7	7.5
7/8/96	156	152.4	151.3	7.5
7/9/96	155	151.4	151.1	7.5
7/10/96	155	151.4	151.0	7.5
7/11/96	154	150.4	151.0	8
7/12/96	154	150.4	150.4	7.5
7/13/96	154	150.4	150.1	6.5
7/14/96	154	150.4	149.8	7.5
7/15/96	152	148.4	149.7	7
7/16/96	153	149.4	149.8	8.5
7/17/96	153	149.4	149.7	8
7/18/96	153	149.4	149.6	5
7/19/96	155	151.4	149.8	8
7/20/96			149.8	
7/21/96			149.8	6.5
7/22/96	153	149.4	149.8	7.5
7/23/96	153	149.4	149.6	8
7/24/96	153	149.4	149.4	7.5
7/25/96	153	149.4	149.4	7.5
7/26/96	154	150.4	149.5	7.5
7/27/96	152	148.4	149.7	6
7/28/96	153	149.4	149.7	8
7/29/96	154	150.4	149.7	8
7/30/96	154	150.4	149.4	7.5
7/31/96	153	149.4	149.3	7.5
8/1/96	153	149.4	149.1	8.5
8/2/96	152	148.4	149.1	8
8/3/96	151	147.4	149.0	7.5
8/4/96	152	148.4	149.0	9.5
8/5/96	154	150.4	148.8	8
8/6/96	153	149.4	148.9	8
8/7/96	153	149.4	149.2	7
8/8/96	152	148.4	149.4	6
8/9/96			149.1	
8/10/96			148.9	
8/11/96			148.4	
8/12/96			148.4	
8/13/96			148.4	
8/14/96			149.4	
8/15/96			148.9	
8/16/96			149.1	
8/17/96	153	149.4	149.2	8.5
8/18/96	152	148.4	149.4	7
8/19/96	153	149.4	149.6	8
8/20/96	153	149.4	149.5	7.5
8/21/96	154	150.4	149.5	7.5
8/22/96	154	150.4	149.7	7.5
8/23/96	153	149.4	149.7	7.5
8/24/96	153	149.4	149.5	7.5
8/25/96	153	149.4	149.4	7.5
8/26/96	153	149.4	149.4	8
8/27/96	152	148.4	149.5	8
8/28/96	153	149.4	149.7	7.5
8/29/96	154	150.4	149.8	8
8/30/96	154	150.4	150.1	8
8/31/96	154	150.4	150.4	5
9/1/96	154	150.4	150.4	8
9/2/96	155	151.4	150.3	7.5
9/3/96	154	150.4	150.1	8
9/4/96	153	149.4	150.0	7
9/5/96	153	149.4	150.0	7.5
9/6/96	153	149.4	149.5	7
9/7/96	153	149.4	149.4	8
9/8/96	154	150.4	149.4	8
9/9/96	152	148.4	149.3	7
9/10/96	153	149.4	148.8	8
9/11/96	153	149.4	148.4	8.5
9/12/96	152	148.4	147.7	5
9/13/96	150	146.4	147.4	5
9/14/96	150	146.4	147.0	6.5
9/15/96	149	145.4	146.5	7.5
9/16/96	150	146.4	146.0	8
9/17/96	150	146.4	145.8	8
9/18/96	150	146.4	145.8	8
9/19/96	148	144.4	146.0	8
9/20/96	149	145.4	146.3	7.5
9/21/96	150	146.4	146.3	8
9/22/96	150	146.4	146.1	7
9/23/96	152	148.4	146.5	8
9/24/96	150	146.4	146.7	7.5
9/25/96	149	145.4	146.5	8
9/26/96	151	147.4	146.5	7.5
9/27/96	150	146.4	146.3	7.5
9/28/96	149	145.4	146.2	7.5
9/29/96	150	146.4	146.4	7.5
9/30/96	150	146.4	146.2	7
10/1/96			146.1	
10/2/96			146.4	
10/3/96			146.7	
10/4/96			147.1	
10/5/96	150	146.4	147.4	8
10/6/96	151	147.4	147.2	8
10/7/96	151	147.4	147.2	8
10/8/96	152	148.4	147.4	8
10/9/96	150	146.4	147.5	7.5
10/10/96	151	147.4	147.4	
10/11/96	152	148.4	147.5	7
10/12/96	151	147.4	147.5	6.5
10/13/96	150	146.4	147.7	7.5
10/14/96	152	148.4	147.8	7.5
10/15/96	152	148.4	147.7	7.5
10/16/96	151	147.4	147.7	7
10/17/96	152	148.4	148.0	7
10/18/96	151	147.4	147.8	
10/19/96			147.8	
10/20/96			147.6	
10/21/96	151	147.4	147.4	7.5
10/22/96	152	148.4	147.2	8
10/23/96	150	146.4	147.1	8
10/24/96	151	147.4	146.8	8
10/25/96	150	146.4	146.7	8
10/26/96	150	146.4	146.4	7
10/27/96	149	145.4	146.3	6.5
